của	of
huyền bí	mysterious
tên lửa	rocket
hiến tặng	donate
tù nhân	inmate
giải quyết	tackle
động lực học	dynamics
cây cung	bow
của chúng tôi	ours
cao cấp	senior
phẩm giá	dignity
thảm	carpet
cha mẹ	parental
bong bóng	bubble
nhiệt	heat
Bạn bè	buddy
chuồng trại	barn
thanh kiếm	sword
thứ bảy	seventh
vinh quang	glory
chặt chẽ	tightly
bảo vệ	protective
tuck	tuck
trống	drum
mờ nhạt	faint
bài đăng	post
nữ hoàng	queen
tình trạng khó xử	dilemma
đầu vào	input
chuyên môn hóa	specialize
đông bắc	northeast
nông	shallow
trách nhiệm pháp lý	liability
cánh buồm	sail
thương gia	merchant
sân vận động	stadium
cải tiến	improved
dính máu	bloody
đánh bại	defeat
liên kết	associated
thu hồi	withdrawal
tủ lạnh	refrigerator
tổ	nest
ở gần	near
triệt để	thoroughly
lane	lane
tổ tiên	ancestor
lên án	condemn
hơi nước	steam
giọng điệu	accent
thoát khỏi	escape
lạc quan	optimistic
thống nhất	unite
cái lồng	cage
Trang bị	equip
con tôm	shrimp
quê hương	homeland
trao đổi	exchange
giá đỡ	rack
trang phục	costume
chó sói	wolf
phòng xử án	courtroom
đạo luật	statute
hoạt hình	cartoon
năng suất	productivity
nụ cười	grin
tượng trưng	symbolic
lỗi	bug
ban phước	bless
cô dì	aunt
nông nghiệp	agriculture
đá	rock
Hostile	hostile
nguồn gốc	root
thụ thai	conceive
kết hợp	combined
ngay lập tức	instantly
phá sản	bankruptcy
vắcxin	vaccine
thưởng	bonus
hợp tác	collaboration
pha trộn	mixed
phản đối	opposed
quỹ đạo	orbit
sự hiểu biết	grasp
kiên nhẫn	patience
bất bình	spite
nhiệt đới	tropical
bầu cử	voting
tuần tra	patrol
sự sẵn lòng	willingness
Chức vụ	position
sự mặc khải	revelation
thuê	rent
đồ trang sức	jewelry
Cuba	Cuban
lôi	haul
công nhận	concede
dấu vết	trace
toa xe	wagon
sau đó	afterward
đẹp mắt	spectacular
phá hoại	ruin
tuyệt	sheer
trước	prior
miễn dịch	immune
độ tin cậy	reliability
mông	ass
bên cạnh	alongside
cây bụi	bush
kỳ lạ	exotic
hấp dẫn	fascinating
đảm bảo	secure
kẹp	clip
đùi	thigh
con bò	bull
ngăn kéo	drawer
quan tâm	regard
cừu	sheep
gây chán nản cho	discourage
điều phối viên	coordinator
ý thức hệ	ideological
người chạy	runner
thế tục	secular
thân mật	intimate
đế chế	empire
taxi	cab
ly hôn	divorce
thi	exam
phim tài liệu	documentary
Trung tính	neutral
sinh học	biology
linh hoạt	flexible
cấp tiến	progressive
web	web
âm mưu	conspiracy
bắt lấy	catch
tai nạn	casualty
nước cộng hòa	republic
chấp hành	execution
khủng khiếp	terrific
cá voi	whale
chức năng	functional
ngôi sao	star
bản nháp	draft
bản năng	instinct
đồng đội	teammate
nhôm	aluminum
bất cứ ai	whoever
Bộ	ministry
bản án	verdict
dạy	instruct
sọ	skull
lòng tự trọng	selfesteem
giảm bớt	ease
hợp tác xã	cooperative
vận dụng	manipulate
con ong	bee
học viên	practitioner
vòng lặp	loop
chỉnh sửa	edit
roi da	whip
câu đố	puzzle
nấm	mushroom
trợ cấp	subsidy
sôi lên	boil
bi kịch	tragic
toán học	mathematics
thợ cơ khí	mechanic
lọ	jar
sự tôn trọng	respect
động đất	earthquake
thịt heo	pork
sáng tạo	creativity
an toàn	safely
cơ bản	underlying
món tráng miệng	dessert
cảm thông	sympathy
ngư dân	fisherman
vô cùng	incredibly
cô lập	isolation
bít tất	sock
ở gần	near
nhảy	jump
mười một	eleven
sexy	sexy
doanh nhân	entrepreneur
hội chứng	syndrome
phòng làm việc	bureau
ghế	seat
nơi làm việc	workplace
tham vọng	ambition
đụng	touchdown
sử dụng	utilize
khoe khoang	breeze
tốn kém	costly
đầy tham vọng	ambitious
Cơ đốc giáo	Christianity
có lẽ	presumably
có ảnh hưởng	influential
dịch	translation
không chắc chắn	uncertain
giải thể	dissolve
vật	object
thống kê	statistical
ruột	gut
đô thị	metropolitan
lăn	rolling
thẩm mỹ	aesthetic
Đánh vần	spell
chèn	insert
gian hàng	booth
mũ bảo hiểm	helmet
eo	waist
kỳ vọng	expected
sư tử	lion
hoàn thành	accomplishment
hoàng tộc	royal
hoảng loạn	panic
dàn diễn viên	cast
nghiền nát	crush
tích cực	actively
vách đá	cliff
tối thiểu	minimal
dây	cord
may mắn	fortunately
cocaine	cocaine
ảo giác	illusion
vô danh	anonymous
tha thứ	tolerate
sự đánh giá	appreciation
ủy viên	commissioner
làm hại	harm
Mềm dẻo	flexibility
hướng dẫn	instructional
tranh giành	scramble
casino	casino
khối u	tumor
trang trí	decorate
sắp xếp	sort
sạc điện	charge
xung	pulse
tương đương	equivalent
đã sửa	fixed
có kinh nghiệm	experienced
Quyên góp	donation
Nhật ký	diary
anh chị em ruột	sibling
mỉa mai	irony
cái thìa	spoon
giữa	midst
hẻm	alley
buồn bã	upset
tương tác	interact
xà bông	soap
dễ thương	cute
đối thủ	rival
thời gian ngắn	shortterm
đấm	punch
ghim	pin
khúc côn cầu	hockey
đi qua	passing
tồn tại	persist
nhà cung cấp	supplier
nổi tiếng	known
Đà	momentum
cái ví	purse
đổ ra	shed
biểu tượng	icon
con voi	elephant
hậu quả là	consequently
cơ quan lập pháp	legislature
nhượng quyền thương mại	franchise
đúng	correctly
tinh thần	mentally
nuôi dưỡng	foster
Xe đạp	bicycle
khuyến khích	encouraging
lừa đảo	cheat
truy cập	access
chữa lành	heal
sốt	fever
lọc	filter
Con thỏ	rabbit
đồng tiền	coin
khai thác	exploit
có thể truy cập	accessible
cơ thể	organism
cảm giác	sensation
một phần	partially
ở lại	stay
tầng trên	upstairs
khô	dried
tối thiểu	minimum
pro	pro
bảo tồn	conservation
xô	shove
sân sau	backyard
điều lệ	charter
bếp	stove
bằng lòng	consent
bao gồm	comprise
nhắc nhở	reminder
như nhau	alike
vị trí	placement
bột	dough
cháu ngoại	grandchild
con đập	dam
báo cáo	reportedly
nổi tiếng	wellknown
xung quanh	surrounding
sinh thái	ecological
trang phục	outfit
chưa từng có	unprecedented
nhà bình luận viên	columnist
tập thể dục	workout
sơ bộ	preliminary
bằng sáng chế	patent
nhát	shy
Trích dẫn	quote
rác	trash
tàn tật	disabled
Tổng	gross
chỉ trích	damn
hoocmon	hormone
kết cấu	texture
quầy tính tiền	counter
bút chì	pencil
biên giới	frontier
Xịt nước	spray
cá cược	bet
tiết lộ	disclose
quyền nuôi con	custody
chủ ngân hàng	banker
quái thú	beast
gây trở ngại	interfere
cây sồi	oak
trường hợp	case
thứ tám	eighth
sổ tay	notebook
đề cương	outline
sự tham dự	attendance
suy đoán	speculation
khám phá	uncover
thay mặt	behalf
sáng tạo	innovative
cá mập	shark
phần thưởng	reward
cối xay	mill
cài đặt	installation
kích thích	stimulate
nhãn	tag
theo chiều dọc	vertical
bơi lội	swimming
hạm đội	fleet
mục lục	catalog
người ngoài	outsider
sự hy sinh	sacrifice
tuyệt vọng	desperately
lập trường	stance
bắt buộc	compel
nhạy cảm	sensitivity
một ngày nào đó	someday
ra mắt	debut
tuyên bố	proclaim
đi lang thang	hike
cần thiết	required
đối đầu	confrontation
Đầy màu sắc	colorful
lý tưởng	ideal
hiến pháp	constitution
người huấn luyện	trainer
Lễ Tạ ơn	Thanksgiving
hương thơm	scent
cây rơm	stack
lông mày	eyebrow
bao	sack
ngưng	cease
thừa kế	inherit
cái mâm	tray
người tiên phong	pioneer
tổ chức	organizational
sách giáo khoa	textbook
uh	uh
bẩn thỉu	nasty
co lại	shrink
mô hình	model
mới nổi	emerging
dấu chấm	dot
lúa mì	wheat
khốc liệt	fierce
hình dung	envision
hợp lý	rational
Vương quốc	kingdom
lối đi	aisle
làm suy yếu	weaken
giao thức	protocol
duy nhất	exclusively
tiếng hát	vocal
thương trường	marketplace
cởi mở	openly
không công bằng	unfair
địa hình	terrain
triển khai	deploy
rủi ro	risky
mỳ ống	pasta
thể loại	genre
làm mất tập trung	distract
n	merit
lập kế hoạch	planner
suy sụp	depressed
mảnh	chunk
gần nhất	closest
giảm giá	discount
Không	no
thang	ladder
rừng nhiệt đới	jungle
di cư	migration
thở	breathing
xâm chiếm	invade
bão	hurricane
nhà bán lẻ	retailer
phân loại	classify
vết thương	wound
cuộc đảo chính	coup
viện trợ	aid
đại sứ	ambassador
tỉ trọng	density
hỗ trợ	supportive
sự tò mò	curiosity
bỏ qua	skip
Hiếu chiến	aggression
kích thích kinh tế	stimulus
báo chí	journalism
robot	robot
lũ	flood
nhúng	dip
tương tự	likewise
không chính thức	informal
Người Ba Tư	Persian
lông vũ	feather
quả cầu	sphere
thắt chặt	tighten
khoe khoan	boast
vỗ vỗ	pat
lĩnh hội	perceived
Duy Nhất	sole
công khai	publicity
chính	major
mở ra	unfold
đùa	joke
hạnh phúc	wellbeing
hiệu lực	validity
hệ sinh thái	ecosystem
nghiêm khắc	strictly
một phần	partial
cổ áo	collar
cỏ dại	weed
sự tuân thủ	compliance
streak	streak
được cho là	supposedly
thêm	added
người xây dựng	builder
nhìn thoáng qua	glimpse
tiền đề	premise
chuyên môn	specialty
thấy	deem
đồ tạo tác	artifact
sneak	sneak
con khỉ	monkey
người cố vấn	mentor
hai phần ba	twothirds
người nghe	listener
sét đánh	lightning
hợp pháp	legally
tay áo	sleeve
thất vọng	disappointment
xáo trộn	disturb
xương sườn	rib
quá đáng	excessive
công nghệ cao	hightech
mảnh vụn	debris
Đóng cọc	pile
gậy	rod
hợp lý	logical
tự do	liberal
tro	ash
xã hội	socially
giáo xứ	parish
chế độ nô lệ	slavery
chỗ trống	blank
hàng hóa	commodity
chữa khỏi	cure
khoáng sản	mineral
đói	hunger
chết	dying
phát triển	developmental
nhanh hơn	faster
phụ tùng	spare
nửa chừng	halfway
chữa khỏi	cure
bình đẳng	equality
Nghĩa trang	cemetery
quấy rối	harassment
thong thả	deliberately
danh tiếng	fame
hối tiếc	regret
nổi bật	striking
khả năng	likelihood
cà rốt	carrot
trên	atop
số điện thoại	toll
rim	rim
xấu hổ	embarrassed
fucking	fucking
bám lấy	cling
bị cô lập	isolated
chớp mắt	blink
nghi ngờ	suspicious
xe lăn	wheelchair
đội hình	squad
hội đủ điều kiện	eligible
bộ vi xử lý	processor
lao xuống	plunge
điều này	this
nụ cười	grin
màu	color
nhân khẩu học	demographic
mưa	rain
làm lạnh	chill
nơi ẩn náu	refuge
chỉ đạo	steer
nhà lập pháp	legislator
biểu tình	rally
lập trình	programming
vui lên	cheer
đầu ra	outlet
nguyên vẹn	intact
nhà cung cấp	vendor
phát đạt	thrive
đậu phụng	peanut
nhai	chew
kỹ lưỡng	elaborate
trí tuệ	intellectual
quan niệm	conception
bán đấu giá	auction
miếng bò hầm	steak
tuân theo	comply
triumph	triumph
cổ đông	shareholder
so sánh	comparable
lương tâm	conscience
phép tính	calculation
đáng kể	considerably
khoảng thời gian	interval
vết trầy	scratch
thức tỉnh	awake
quyền hạn	jurisdiction
chắc chắn	inevitably
nữ quyền sĩ	feminist
hạn chế	constraint
tình cảm	emotionally
thám hiểm	expedition
bị cáo buộc	allegedly
thỏa hiệp	compromise
sự giống nhau	similarity
mông	butt
Nắp	lid
ngớ ngẩn	dumb
số lượng lớn	bulk
rắc	sprinkle
tử vong	mortality
triết học	philosophical
chuyển đổi	conversion
người bảo trợ	patron
thành phố	municipal
bất kì	any
Gan	liver
hòa hợp	harmony
chỉ	solely
lòng khoan dung	tolerance
tức thời	instant
con dê	goat
cánh tay	arm
phước lành	blessing
trái chuối	banana
đang chạy	running
cung điện	palace
trước kia	formerly
nông dân	peasant
khéo léo	neat
ông bà	grandparent
nhà lập pháp	lawmaker
siêu thị	supermarket
du lịch	cruise
di động	mobile
trơn	plain
phần	part
lịch	calendar
Người đàn bà góa	widow
tiền gửi	deposit
râu	beard
phanh	brake
trung tâm thành phố	downtown
kiểm tra	screening
thúc đẩy	impulse
ngăn cấm	forbid
lông thú	fur
tàn bạo	brutal
người ăn thịt	predator
xô	poke
opt	opt
tình nguyện	voluntary
rắc rối	trouble
có hiệu lực	valid
diễn đàn	forum
khiêu vũ	dancing
hạnh phúc	happily
bay lên	soar
gỡ bỏ	removal
tự trị	autonomy
ban hành	enact
tròn	round
chủ đề	thread
ánh sáng	light
mốc	landmark
không vui	unhappy
tội phạm	offender
đang đến	coming
tư nhân	privately
phân số	fraction
đặc biệt	distinctive
du lịch	tourism
ngưỡng	threshold
điềm tĩnh	calm
thường	routinely
suite	suite
nhận xét	remark
người điều tiết	regulator
Rơm rạ	straw
thần học	theological
xa nhau	apart
thoát ra	exhaust
quả địa cầu	globe
mong manh	fragile
sự phản đối	objection
hóa học	chemistry
Cổ hủ	oldfashioned
Đông người	crowded
vòng tròn	circle
vụ nổ	blast
chiếm ưu thế	prevail
qua đêm	overnight
từ chối	denial
thuê	rental
tuyệt diệu	fantastic
miếng	fragment
cấp độ	level
Đinh ốc	screw
ấm áp	warmth
đại học	undergraduate
chất lỏng	liquid
đau đầu	headache
cảnh sát	policeman
năng suất	yield
chiếu	projection
chiến đấu	battle
thích hợp	suitable
đề cập đến	mention
tốt nghiệp	graduation
máy khoan	drill
hung ác	cruel
biệt thự	mansion
quan tâm	regard
giống nho	grape
cho phép	authorize
nhà tranh	cottage
đường lái xe	driveway
quyến rũ	charm
tình dục	sexuality
trung thành	loyal
đất sét	clay
pao	pound
quả bóng bay	balloon
sự phát minh	invention
tự ngã	ego
giá vé	fare
bài tập về nhà	homework
đĩa	disc
ghế sô pha	sofa
Bảo hành	guarantee
khả dụng	availability
radar	radar
nhăn mặt	frown
giành lại	regain
rời khỏi	leave
cho phép	permit
áo len	sweater
phục hồi chức năng	rehabilitation
cao su	rubber
rút lui	retreat
phân tử	molecule
tự do	freely
thuận lợi	favorable
liên tục	steadily
cựu chiến binh	veteran
tích hợp	integrated
ha	ha
thiếu niên	youngster
phí bảo hiểm	premium
trách nhiệm giải trình	accountability
quá tải	overwhelm
một phần ba	onethird
thưởng ngoạn	contemplate
cập nhật	update
tia lửa	spark
trớ trêu thay	ironically
mệt mỏi	fatigue
vượt ra ngoài	beyond
suy đoán	speculate
đánh dấu	marker
thấp	low
rao giảng	preach
cái xô	bucket
bom	bomb
tóc vàng	blond
lời thú tội	confession
kích động	provoke
đá hoa	marble
đáng kể	substantially
xoắn	twist
hậu vệ	defender
cá	fish
rõ ràng	explicit
vận chuyển	transport
phiền	disturbing
giám sát	surveillance
từ tính	magnetic
kỹ thuật viên	technician
lẩm bẩm	mutter
tàn phá	devastating
khởi hành	depart
mũi tên	arrow
chấn thương	trauma
lân cận	neighboring
ngâm	soak
ribbon	ribbon
thời gian chờ đợi	meantime
chuyển giao	transmit
màn	screen
liên tiếp	consecutive
nhà nước cộng hòa	republican
danh từ	coordinate
trên toàn thế giới	worldwide
bên trong	within
gián điệp	spy
khe	slot
bạo loạn	riot
chất dinh dưỡng	nutrient
quyền công dân	citizenship
nghiêm trọng	severely
chủ quyền	sovereignty
cây rơm	ridge
can đảm	brave
thắp sáng	lighting
chỉ định	specify
người đóng góp	contributor
thất vọng	frustrate
đám đông	crowd
khớp nối	articulate
quan trọng	importantly
quá cảnh	transit
dày đặc	dense
hội thảo	seminar
thiết bị điện tử	electronics
nắng	sunny
quần short	shorts
sưng lên	swell
tố cáo	accusation
làm mềm	soften
ảnh chụp	photograph
làm thẳng	straighten
khủng khiếp	terribly
gợi ý	cue
đột nhiên	sudden
cô dâu	bride
tiểu sử	biography
nguy hiểm	hazard
thuyết phục	compelling
ít khi	seldom
ngói	tile
kinh tế	economically
thành thật	honestly
gặp rắc rối	troubled
cây cung	bow
hai mươi	twentieth
cân bằng	balanced
người nước ngoài	foreigner
phóng	launch
tiện	convenience
Hân hoan	delight
dệt	weave
gỗ	timber
cho đến	till
chính xác	accurately
lời bào chữa	plea
bóng đèn	bulb
sao chép	copy
bay	flying
bền vững	sustainable
ác quỷ	devil
chớp	bolt
hàng hóa	cargo
xương sống	spine
người bán	seller
có kỹ năng	skilled
quản lý	managing
công cộng	public
biển	marine
bến tàu	dock
tổ chức	organized
sương mù	fog
nhà ngoại giao	diplomat
nhàm chán	boring
thỉnh thoảng	sometime
tóm lược	summary
nhà truyền giáo	missionary
bệnh dịch	epidemic
gây tử vong	fatal
cắt tỉa	trim
Kho	warehouse
đẩy nhanh	accelerate
Con bướm	butterfly
đồng	bronze
chết chìm	drown
vốn có	inherent
ca ngợi	praise
toàn quốc	nationwide
nhổ	spit
mùa gặt	harvest
quỳ xuống	kneel
Khoảng chân không	vacuum
đã chọn	selected
điều khiển	dictate
khuôn mẫu	stereotype
cảm biến	sensor
giặt ủi	laundry
sổ tay	manual
súng lục	pistol
hải quân	naval
nguyên đơn	plaintiff
đứa trẻ	kid
tầng lớp trung lưu	middleclass
xin lỗi	apology
cho đến	till
